Time,T1,T2,Q1,Q2
272.0,43.8328,24.494799999999998,50,0
273.0,43.8328,24.494799999999998,50,0
274.0,43.8328,24.494799999999998,50,0
275.0,43.8328,24.494799999999998,50,0
276.0,44.1551,24.494799999999998,50,0
277.0,44.1551,24.494799999999998,50,0
278.0,44.1551,24.494799999999998,50,0
279.0,44.1551,24.494799999999998,50,0
280.0,44.1551,24.494799999999998,50,0
281.0,44.1551,24.494799999999998,50,0
282.0,44.1551,24.494799999999998,50,0
283.0,44.1551,24.494799999999998,50,0
284.0,44.477399999999996,24.494799999999998,50,0
285.0,44.477399999999996,24.494799999999998,50,0
286.0,44.477399999999996,24.494799999999998,50,0
287.0,44.477399999999996,24.494799999999998,50,0
288.0,44.477399999999996,24.494799999999998,50,0
289.0,44.477399999999996,24.817099999999996,50,0
290.0,44.799699999999994,24.817099999999996,50,0
291.0,44.477399999999996,24.494799999999998,50,0
292.0,44.799699999999994,24.817099999999996,50,0
293.0,44.799699999999994,24.817099999999996,50,0
294.0,44.799699999999994,24.817099999999996,50,0
295.0,44.799699999999994,24.817099999999996,50,0
296.0,44.799699999999994,24.817099999999996,50,0
297.0,44.799699999999994,24.817099999999996,50,0
298.0,44.799699999999994,24.817099999999996,50,0
299.0,45.122,24.817099999999996,50,0
300.0,45.122,24.817099999999996,50,0
301.0,45.122,24.817099999999996,50,0
302.0,45.122,24.817099999999996,50,0
303.0,45.122,24.817099999999996,50,0
304.0,45.122,24.817099999999996,50,0
305.0,45.122,24.817099999999996,50,0
306.0,45.4443,24.817099999999996,50,0
307.0,45.4443,24.817099999999996,50,0
308.0,45.4443,24.817099999999996,50,0
309.0,45.4443,24.817099999999996,50,0
310.0,45.4443,24.817099999999996,50,0
311.0,45.4443,24.817099999999996,50,0
312.0,45.4443,24.817099999999996,50,0
313.0,45.4443,24.817099999999996,50,0
314.0,45.4443,24.817099999999996,50,0
315.0,45.7666,24.817099999999996,50,0
316.0,45.7666,24.817099999999996,50,0
317.0,45.7666,24.817099999999996,50,0
318.0,45.7666,24.817099999999996,50,0
319.0,45.7666,24.817099999999996,50,0
320.0,45.7666,24.817099999999996,50,0
321.0,46.088899999999995,24.817099999999996,50,0
322.0,45.7666,24.817099999999996,50,0
323.0,46.088899999999995,24.817099999999996,50,0
324.0,46.088899999999995,25.1394,50,0
325.0,46.088899999999995,24.817099999999996,50,0
326.0,46.088899999999995,24.817099999999996,50,0
327.0,46.088899999999995,24.817099999999996,50,0
328.0,46.088899999999995,24.817099999999996,50,0
329.0,46.088899999999995,24.817099999999996,50,0
330.0,46.088899999999995,24.817099999999996,50,0
331.0,46.088899999999995,25.1394,50,0
332.0,46.411199999999994,25.1394,50,0
333.0,46.411199999999994,25.1394,50,0
334.0,46.088899999999995,24.817099999999996,50,0
335.0,46.411199999999994,24.817099999999996,50,0
336.0,46.411199999999994,25.1394,50,0
337.0,46.411199999999994,24.817099999999996,50,0
338.0,46.411199999999994,25.1394,50,0
339.0,46.411199999999994,25.1394,50,0
340.0,46.411199999999994,25.1394,50,0
341.0,46.411199999999994,25.1394,50,0
342.0,46.411199999999994,25.1394,50,0
343.0,46.7335,25.1394,50,0
344.0,46.7335,25.1394,50,0
345.0,46.7335,25.1394,50,0
346.0,46.7335,25.1394,50,0
347.0,46.7335,25.1394,50,0
348.0,46.7335,25.1394,50,0
349.0,46.7335,25.1394,50,0
350.0,46.7335,25.1394,50,0
351.0,46.7335,25.1394,50,0
352.0,46.7335,25.1394,50,0
353.0,47.0558,25.1394,50,0
354.0,46.7335,25.1394,50,0
355.0,47.0558,25.1394,50,0
356.0,47.0558,25.1394,50,0
357.0,47.0558,25.1394,50,0
358.0,47.0558,25.1394,50,0
359.0,47.0558,25.1394,50,0
360.0,47.0558,25.1394,50,0
361.0,47.0558,25.1394,50,0
362.0,47.0558,25.1394,50,0
363.0,47.0558,25.1394,50,0
364.0,47.0558,25.1394,50,0
365.0,47.378099999999996,25.1394,50,0
366.0,47.0558,25.1394,50,0
367.0,47.378099999999996,25.1394,50,0
368.0,47.0558,25.1394,50,0
369.0,47.378099999999996,25.1394,50,0
370.0,47.378099999999996,25.1394,50,0
371.0,47.378099999999996,25.1394,50,0
372.0,47.378099999999996,25.1394,50,0
373.0,47.378099999999996,25.1394,50,0
374.0,47.378099999999996,25.1394,50,0
375.0,47.378099999999996,25.1394,50,0
376.0,47.378099999999996,25.1394,50,0
377.0,47.378099999999996,25.1394,50,0
378.0,47.378099999999996,25.1394,50,0
379.0,47.700399999999995,25.1394,50,0
380.0,47.700399999999995,25.1394,50,0
381.0,47.378099999999996,25.1394,50,0
382.0,47.700399999999995,25.1394,50,0
383.0,47.700399999999995,25.1394,50,0
384.0,47.700399999999995,25.1394,50,0
385.0,47.700399999999995,25.1394,50,0
386.0,47.700399999999995,25.1394,50,0
387.0,47.700399999999995,25.1394,50,0
388.0,47.700399999999995,25.1394,50,0
389.0,47.700399999999995,25.1394,50,0
390.0,47.700399999999995,25.1394,50,0
391.0,47.700399999999995,25.1394,50,0
392.0,47.700399999999995,25.1394,50,0
393.0,47.700399999999995,25.1394,50,0
394.0,48.02269999999999,25.461699999999997,50,0
395.0,48.02269999999999,25.1394,50,0
396.0,48.02269999999999,25.1394,50,0
397.0,48.02269999999999,25.461699999999997,50,0
398.0,48.02269999999999,25.1394,50,0
399.0,48.02269999999999,25.461699999999997,50,0
400.0,48.02269999999999,25.461699999999997,50,0
